"name","GeneSymbol","logFC","adj.P.Val","Status"
"RASAL1","RASAL1",-2.3312946369718,3.28217437610174e-17,"Down"
"UMPS","UMPS",1.64638290612235,3.42656356124248e-17,"Up"
"RBM11","RBM11",-2.96587222623695,3.47198035739001e-17,"Down"
"GABRB2","GABRB2",-6.32428610274649,3.75135097381551e-17,"Down"
"CKLF-CMTM1","CKLF-CMTM1",2.66193147106805,3.75135097381551e-17,"Up"
"GNAI3","GNAI3",1.47528632034096,3.77485499988439e-17,"Up"
"HMGN1","HMGN1",1.71487528611703,4.02639220405289e-17,"Up"
"PSD","PSD",-2.64494023291513,4.08743625825813e-17,"Down"
"PPP1R16B","PPP1R16B",-4.97735775055654,4.42537318482082e-17,"Down"
"CDK1","CDK1",5.22345691439355,4.44667028661604e-17,"Up"
"STAT4","STAT4",-3.68993829176003,4.58427027128963e-17,"Down"
"SYNPR","SYNPR",-8.14239158278416,4.72158520508502e-17,"Down"
"SNRPG","SNRPG",1.43581792638066,4.76038856346182e-17,"Up"
"SYT12","SYT12",-2.8867990367054,5.04967594910817e-17,"Down"
"SEC61B","SEC61B",1.01981246194904,5.08418057270274e-17,"Up"
"UNC13A","UNC13A",-3.08825458958739,5.08418057270274e-17,"Down"
"HSD17B10","HSD17B10",1.7215754389879,5.19654124640986e-17,"Up"
"MYPOP","MYPOP",-2.42257963370112,5.19654124640986e-17,"Down"
"RUSC2","RUSC2",-2.659935614905,5.99887902063979e-17,"Down"
"ZNF70","ZNF70",2.36663274106528,6.10938241946482e-17,"Up"
"CNTNAP4","CNTNAP4",-4.66917272732137,7.14406194652909e-17,"Down"
"MIR7-3HG","MIR7-3HG",-4.99432660293846,7.37624601115431e-17,"Down"
"KIAA1644","KIAA1644",-5.06241246104392,7.41650408537651e-17,"Down"
"METAP2","METAP2",1.09738340744523,7.61204325167794e-17,"Up"
"RAB40C","RAB40C",-1.71473666539613,8.63655133580161e-17,"Down"
"LOC100132207","LOC100132207",-1.12808110230927,9.18279657495155e-17,"Down"
"SEC11A","SEC11A",1.31816235325036,9.18279657495155e-17,"Up"
"BCDIN3D","BCDIN3D",2.47116373649717,9.56548514391067e-17,"Up"
"RPN2","RPN2",1.36746496832813,9.66649344025231e-17,"Up"
"LOC100506563","LOC100506563",-2.98361576743662,9.86942145245527e-17,"Down"
"E2F5","E2F5",3.26668061243938,1.1336341054954e-16,"Up"
"YWHAH","YWHAH",-2.22573395178081,1.19182369731089e-16,"Down"
"GFOD1","GFOD1",-2.97164111663038,1.36665447194845e-16,"Down"
