"Gene.symbol","logFC","adj.P.Val"
"KIF4A",5.13424070540946,6.51864698109455e-14
"NAPB",-4.36500992285996,6.53930310408979e-14
"COX7A1",-3.94588872239974,6.5509070941826e-14
"PHACTR4",1.27042097939257,6.68110000120795e-14
"SPHAR",-1.66030850578088,6.71601965131233e-14
"TOM1L2",-2.06552982963045,6.71601965131233e-14
"PLGRKT",1.6342546985568,6.77808106726878e-14
"PPEF1",-3.02918687847081,6.83699023933578e-14
"SPHKAP",-6.65127379998488,7.01944472283741e-14
"SEMA4A",-1.76993331921618,7.04259448631527e-14
"TMEM39A",2.16506189675641,7.04259448631527e-14
"SYNGR1",-3.23962054488034,7.33187239169449e-14
"SLC43A3",3.35099045945989,7.38917501249564e-14
"C1orf56",2.76407553862801,7.49818372359054e-14
"ANO3",-5.02010601499665,7.57696703625583e-14
"CFAP97",1.11403278202965,7.67250033925699e-14
"XRCC5",1.29238577632958,7.9555989219756e-14
"FAM19A1",-6.23487043858797,8.11174155874126e-14
"GNS",1.54563290214392,9.20720230047374e-14
"NID2",4.42592657678054,9.4288668040331e-14
"LIX1L",1.62486725751886,9.54714598277231e-14
"CAMK4",-6.11657527590789,9.56179288200347e-14
"TYMS",4.29515302895627,9.56179288200347e-14
"HECW1",-2.45078780142637,1.01949620652314e-13
"PRRC1",1.44343211399361,1.03031835497982e-13
"XRCC4",1.70701866174996,1.08358787247829e-13
"LOC157562",-3.12250409995951,1.11529555466423e-13
"KIAA0101",6.20472513921104,1.23524710182107e-13
"AP3M1",1.55748088259769,1.25080351952446e-13
"PGLS",1.34912418122839,1.26356765436021e-13
"KCNK12",-4.49005645581026,1.26658051043198e-13
"ATP6V1E1",-1.54559873036674,1.28904910563461e-13
"HPCAL1",-2.30466603654379,1.49306269040745e-13
"GON4L",1.77299718383122,1.49306269040745e-13
"C1GALT1C1",1.40586003867488,1.49787806207574e-13
"PREPL",-1.1977962603386,1.50573290406066e-13
"CHRM1",-3.79529469963794,1.5905912441094e-13
"FAM60A",4.63607655067488,1.6099996550115e-13
"TLL2",-3.33204454243563,1.69305740203885e-13
"NUP160",2.49285233560552,1.69608006703149e-13
"MAN2B1",1.84801106216416,1.70707617268787e-13
"ZNF540",-4.37460926637035,1.79861844082783e-13
"BDNF",-4.02277034704116,1.82430406192846e-13
"ENAH",1.62118918796377,1.88155054430376e-13
"JPH1",-4.41159639592183,1.90097011470841e-13
"GNB5",-2.62754627619389,1.98792883407587e-13
"NUSAP1",5.27768799504227,2.09750493737742e-13
"C5orf15",1.17472064971222,2.20072338516288e-13
"AVPI1",-2.39571824248685,2.21774870311468e-13
"NELL1",-4.78294643450999,2.21774870311468e-13
"RAB3C",-7.1667983507361,2.29105044619668e-13
"RIMS3",-5.38649736057062,2.29105044619668e-13
"MAPK8IP3",-1.94764233130836,2.39736955819467e-13
"ENTPD4",-2.09930574716476,2.42290371083054e-13
"NSRP1",1.12937266629026,2.4427159265417e-13
"SMAD5",1.68469616518836,2.47880689409246e-13
"CHRAC1",1.86545694861558,2.58648662335702e-13
"CACNB4",-3.10870592587719,2.67341449258751e-13
"MCM2",4.59921949124767,2.67341449258751e-13
"RASD2",-3.59453532284971,2.68099532569412e-13
"LOC100129973",-1.51416261052939,2.73735166360624e-13
"SENP5",-1.51596285516404,2.78644118156003e-13
"PDXP",-2.9641232245624,2.79720132812601e-13
"CALM3",-2.22519608845792,2.94238166389384e-13
"SLC25A48",-2.56877591529744,2.98580145725998e-13
"AK5",-6.65379453785904,3.07728269685573e-13
"HSPB3",-2.50338308695714,3.09683721924562e-13
"PPP1R14B",2.79427529315319,3.23456938372119e-13
"SFT2D3",2.16104596312971,3.24770053070301e-13
"STK31",-1.13267943407712,3.32639827789034e-13
"SYP",-3.66427969315142,3.35650213946589e-13
"SYNGR3",-5.96066095553077,3.4007546615497e-13
"TGIF1",3.6106787546424,3.62629208837144e-13
"DHX40",1.68786373917587,3.72245786196562e-13
"ERI1",3.04325491398053,3.88406765884789e-13
"PPP3CB",-2.06029946015924,4.07255257412799e-13
"PAK6",-4.81907892513248,4.07255257412799e-13
"PTPRR",-5.21102826899777,4.12079802098343e-13
"RAB11FIP5",-1.84233833940388,4.18320371302182e-13
