"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"R-HSA-69109","Leading Strand Synthesis",3.98887535265453,10,0.115869752804426,1.31472076606686e-19,2.5049127550215e-09,"PCNA, POLA1, POLD1, POLD3, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5",""
"R-HSA-69091","Polymerase switching",3.98887535265453,10,0.115869752804426,1.31472076606686e-19,2.5049127550215e-09,"PCNA, POLA1, POLD1, POLD3, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5",""
"R-HSA-69186","Lagging Strand Synthesis",3.04605026929982,10,0.0931932389218821,2.43318951166859e-19,1.95274409164735e-08,"LIG1, PCNA, POLA1, POLD1, POLD3, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5",""
"R-HSA-5620912","Anchoring of the basal body to the plasma membrane",1.65662383067183,10,0.0777724049000645,3.0485126171408e-19,5.92446014071947e-08,"ALMS1, CC2D2A, CDK1, CEP135, CEP152, CEP162, CEP192, CEP57, CETN2, CNTRL, HAUS1, MAPRE1, MKS1, NDE1, NEDD1, NINL, NPHP1, NPHP4, ODF2, PLK4, RPGRIP1L, TCTN1, TCTN3, TMEM216, TMEM67","MARK4, PRKAR2B, TTBK2, TUBA4A, TUBB4A, YWHAG"
"R-HSA-5693607","Processing of DNA double-strand break ends",2.09516685189935,10,0.144819843900353,3.6833874449526e-19,2.52888747074118e-09,"ATM, ATRIP, BARD1, BLM, BRCA1, BRIP1, CCNA2, CDK2, CHEK1, EXO1, FAM175A, MDC1, PPP4C, PPP4R2, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, SIRT6, TIMELESS, TIPIN, UBE2I, WRN",""
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA",0.831069468492241,10,0.231542553191489,4.74781858594111e-19,4.68328398822566e-14,"ALYREF, AQR, BUD13, CPSF3, CWF19L2, DDX39A, DHX38, FUS, GLE1, HNRNPC, HNRNPD, HNRNPF, HNRNPM, LSM2, LSM5, LSM7, LSM8, NCBP1, NSRP1, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, NUP88, NXT1, PPIL4, PRPF40A, RBM7, SF3A2, SF3B6, SNIP1, SNRNP40, SNRPA, SNRPB, SNRPD1, SNRPE, SNRPF, SNRPG, SRSF10, SRSF3, YBX1","SNRNP25"
"R-HSA-9013106","RHOC GTPase cycle",1.93059524110552,10,0.136225165562914,6.33551092981727e-19,8.54849458206755e-07,"AKAP13, ARHGAP18, ARHGEF40, CAV1, DEPDC1B, DIAPH3, FMNL3, IQGAP1, IQGAP3, LBR, MYO9B, PKN2, PTRF, RACGAP1, RHOC, ROCK1, TMPO, VANGL1","ABR, ARHGAP26, ARHGAP32, ARHGEF25, BCR, MCF2, MCF2L, ROCK2, SLK"
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion",2.11531268701376,10,0.304015151515152,7.28692594139287e-19,3.22357662374863e-12,"AURKB, BIRC5, BUB1, BUB1B, CCNB1, CCNB2, CDC20, CDCA5, CDCA8, CDK1, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPM, CENPQ, CENPU, ERCC6L, KIF18A, KIF2C, KNTC1, MAD2L1, MAPRE1, MIS12, NDC80, NDE1, NUF2, NUP107, NUP160, NUP37, NUP85, RCC2, SMC1A, SMC3, SPC25, SPDL1, STAG1, TUBB6, ZWINT","DYNC1I1, DYNC1LI1, NDEL1, PPP2R5A, PPP2R5B, RANGAP1, TUBA4A, TUBB2A, TUBB4A"
"R-HSA-5685938","HDR through Single Strand Annealing (SSA)",2.46977048862148,10,0.0856428607684889,8.14079335671103e-19,1.79507026760851e-05,"ABL1, ATM, ATRIP, BARD1, BLM, BRCA1, BRIP1, ERCC4, EXO1, RAD51, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, WRN",""
"R-HSA-157579","Telomere Maintenance",1.64018091423836,10,0.100743617075275,8.51910859332464e-19,5.02246361713464e-07,"BLM, CCNA2, CDK2, DSCC1, GAR1, LIG1, PCNA, POLA1, POLD1, POLD3, POT1, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5, RUVBL1, WRAP53, WRN",""
"R-HSA-194441","Metabolism of non-coding RNA",1.79179427605872,10,0.146648936170213,1.28912465267865e-18,2.89300872806756e-10,"DDX20, GEMIN6, NCBP1, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, NUP88, PRMT5, SNRPB, SNRPD1, SNRPE, SNRPF, SNRPG",""
"R-HSA-191859","snRNP Assembly",1.79179427605872,10,0.146648936170213,1.28912465267865e-18,2.89300872806756e-10,"DDX20, GEMIN6, NCBP1, NUP107, NUP160, NUP205, NUP35, NUP37, NUP54, NUP62, NUP85, NUP88, PRMT5, SNRPB, SNRPD1, SNRPE, SNRPF, SNRPG",""
"R-HSA-5685942","HDR through Homologous Recombination (HRR)",1.97008226372625,10,0.115869752804426,1.39370999021562e-18,2.44546702379563e-07,"ATM, ATRIP, BARD1, BLM, BRCA1, BRCA2, BRIP1, CHEK1, EXO1, GEN1, PCNA, POLD1, POLD3, POLE2, RAD51, RAD51AP1, RBBP8, RFC1, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, WRN","EME2"
"R-HSA-5693616","Presynaptic phase of homologous DNA pairing and strand exchange",2.34311559176909,10,0.100783171175024,2.33670565589417e-18,1.26946461591094e-05,"ATM, ATRIP, BARD1, BLM, BRCA1, BRCA2, BRIP1, CHEK1, EXO1, RAD51, RBBP8, RFC2, RFC3, RFC4, RFC5, RHNO1, RMI1, WRN",""
"R-HSA-174411","Polymerase switching on the C-strand of the telomere",2.63991023339318,10,0.0753768844221105,9.79499603461195e-18,2.12855386776684e-07,"DSCC1, PCNA, POLA1, POLD1, POLD3, POT1, PRIM1, PRIM2, RFC1, RFC2, RFC3, RFC4, RFC5",""
"R-HSA-9013026","RHOB GTPase cycle",2.06013061691775,10,0.0829040404040404,9.91408117150486e-18,3.05281099470859e-06,"ACTC1, AKAP13, CAV1, DEPDC1B, DIAPH3, ECT2, IQGAP3, MYO9B, PKN2, PTRF, RACGAP1, ROCK1, SOWAHC, VANGL1","ABR, ARHGAP26, ARHGAP32, ARHGDIG, ARHGEF2, ARHGEF25, ARHGEF3, BCR, MCF2, MCF2L, MYO9A, PCDH7, ROCK2, SLK"
