"From","To","Correlation","P.Value","adj.P.Val"
"ANKRD34C","GLS2",0.874329877663611,5.22136813271515e-42,7.31295106494814e-40
"SPTBN4","SVOP",0.873914384855402,6.36163518989189e-42,8.8584850707801e-40
"LINC01123","RASAL1",0.873672809054982,7.13355596872119e-42,9.8762852463502e-40
"GPR26","LINC01123",0.873329074860492,8.39267902316714e-42,1.15531221524626e-39
"CNNM1","DCTN1-AS1",0.873062846783309,9.51559610759133e-42,1.30244721722656e-39
"CDH9","RASAL1",0.872917314115927,1.01905035198854e-41,1.38694480109626e-39
"KCNH3","ICAM5",0.872776462693006,1.08883774748801e-41,1.47360119870708e-39
"GPR22","ICAM5",0.872456392222166,1.26534028438622e-41,1.70290767881922e-39
"CCKBR","MCHR2",0.871810297175478,1.71149122206974e-41,2.29054575220334e-39
"PRSS3","CCKBR",0.871780231960135,1.73564563022458e-41,2.31003885260277e-39
"NECAB1","SLC26A4-AS1",0.871555627338386,1.92699843265308e-41,2.5506259473963e-39
"BSN","SVOP",0.871270021309268,2.20046428072847e-41,2.89667674987699e-39
"ANKRD34C","STYK1",0.871237122407109,2.23431404129264e-41,2.9252513725402e-39
"KCNH3","RASAL1",0.871173853532871,2.30085493591553e-41,2.99608623817325e-39
"GABRA4","LINC00507",0.871135881814609,2.34172079255928e-41,3.02158211852997e-39
"EGR4","FNDC9",0.871132384455208,2.34552036598217e-41,3.02158211852997e-39
"CREG2","MCHR2",0.87085506311553,2.66688804704235e-41,3.41730494964097e-39
"ANKRD34C","EGR4",0.870487691841986,3.15994884181906e-41,4.0276808253662e-39
"PACSIN1","GABRA1",0.870242425092142,3.53787489753943e-41,4.48565296219605e-39
"RXFP1","RASAL1",0.869651636586319,4.6399491028426e-41,5.85216617211928e-39
"CTXN3","CDH9",0.869189615293183,5.73079571176792e-41,7.19035774460881e-39
"CREG2","RASAL1",0.868817896682162,6.7879782594664e-41,8.47266301919925e-39
"GPR26","BTBD9",0.868452362256182,8.01353412597709e-41,9.95082665437052e-39
"KCNH3","SLC26A4-AS1",0.868206491310537,8.957537960162e-41,1.10660045877078e-38
"CARMIL2","SLC6A17",0.868139555492036,9.2329091924235e-41,1.13479991043613e-38
"CNNM1","PHF24",0.867646921595629,1.15318317361778e-40,1.41016155596204e-38
"CTXN3","KCNV1",0.867163499837563,1.43309926348042e-40,1.74360410390118e-38
"GJB6","CAMK2A",0.867096430605309,1.47686520774239e-40,1.78782325902082e-38
"STYK1","SNAI3-AS1",0.866985769762974,1.55196249808702e-40,1.86933882894581e-38
"TMEM191A","CCKBR",0.866667808546701,1.78922760373365e-40,2.14440263551958e-38
"SLC12A5","SYN2",0.866500082334546,1.92838229071777e-40,2.29594926062449e-38
"CCKBR","LINC00507",0.866492711716658,1.93473515943035e-40,2.29594926062449e-38
"KCNH3","CDH9",0.866362720680586,2.05021387677363e-40,2.42106138683709e-38
"CTXN3","SLC26A4-AS1",0.865973371319389,2.43811053208579e-40,2.8650772057535e-38
"TMEM191A","GABRA4",0.865791419953126,2.64326327855989e-40,3.09107827089843e-38
"GABRA4","VIP",0.865729924858247,2.71636023691405e-40,3.16121343513331e-38
"GPR26","KCNV1",0.865597346508754,2.88076923646139e-40,3.33642937049783e-38
"STYK1","CARTPT",0.86526680860825,3.3344040878221e-40,3.84333944859495e-38
"ANKRD34C","HAR1A",0.865155748039425,3.50202874742127e-40,4.01732726311326e-38
"TMEM191A","RXFP1",0.864733716143757,4.21786934457535e-40,4.81556741757442e-38
"SLC26A4-AS1","LMO7",0.864667261103473,4.34297417623185e-40,4.93501169365214e-38
"CTXN3","CARTPT",0.864558500844808,4.55562441108025e-40,5.15234704520767e-38
"EGR4","TMEM191A",0.86410078760261,5.56828285410625e-40,6.26822121287008e-38
"SDR16C5","LY86-AS1",0.863778719784091,6.41018243353245e-40,7.18238580575799e-38
"CACNG3","LINC00889",0.863351330657155,7.72280838251385e-40,8.61307657105365e-38
"CCKBR","LINC01123",0.863333185100642,7.78402386237666e-40,8.64134261956929e-38
"GLS2","RYR2",0.863292706561034,7.92230330944825e-40,8.754508565349e-38
"DCTN1-AS1","VIP",0.86307873904529,8.69428935828061e-40,9.56371829410867e-38
"ANKRD34C","PHF24",0.862848335796414,9.60820804697148e-40,1.05209878114338e-37
"DCTN1-AS1","GJB6",0.862731842478861,1.01055483869625e-39,1.1015505006422e-37
"CCKBR","VIP",0.862030078310043,1.36825785639535e-39,1.48474467389927e-37
"ANKRD34C","CARMIL2",0.861797017050899,1.51257096837344e-39,1.63398361561059e-37
"BSN","PPFIA3",0.861554564888247,1.67854875715876e-39,1.8051892660694e-37
"LY86-AS1","NECAB1",0.861536711933965,1.69145407415766e-39,1.81098349539814e-37
"CREG2","VIP",0.861499764290571,1.71847250041816e-39,1.83177002367582e-37
"VIP","RASAL1",0.861344171678807,1.83697651232798e-39,1.94203931633835e-37
"ICAM5","LOC100132207",0.861342814501362,1.83804468296033e-39,1.94203931633835e-37
"DCTN1-AS1","GPR22",0.861036931600594,2.09501947196865e-39,2.20388729605785e-37
"LINC01123","LOC100132207",0.860799460743999,2.31854732888713e-39,2.42842631099526e-37
"STYK1","LMO7",0.86070193789413,2.41698226387419e-39,2.52056721804022e-37
"DCTN1-AS1","CDH9",0.86039492018387,2.7544320193854e-39,2.86009773047389e-37
"DCTN1-AS1","NECAB1",0.859997782420184,3.26024957395791e-39,3.37079022474876e-37
"KCNV1","LOC100132207",0.859956633532245,3.3176031540644e-39,3.41542991373553e-37
"GLS2","SPTB",0.859603509358602,3.85229085709228e-39,3.94900794669587e-37
"EGR4","SLC6A17",0.859466297893518,4.08213229416413e-39,4.16688843078025e-37
"ANKRD34C","GJB6",0.85940564259867,4.1879768856664e-39,4.25689296100015e-37
"CREG2","ICAM5",0.858894263162594,5.1942887793681e-39,5.25758053340242e-37
"PACSIN1","SYN2",0.858728839699468,5.56801352236397e-39,5.61227806501038e-37
"KCNH3","RXFP1",0.858561259467083,5.97349921036262e-39,5.99589983240147e-37
"GLS2","CARMIL2",0.858271744238096,6.74338848777922e-39,6.74059040126977e-37
"SLC12A5","SYNPR",0.858176884684561,7.01622228315436e-39,6.98433036368548e-37
"CNNM1","LGI3",0.857794160563067,8.23140263113424e-39,8.16026705284049e-37
"SDR16C5","SLC32A1",0.857659243798456,8.70722598929974e-39,8.59660139681274e-37
"TMEM191A","RASAL1",0.8573244129142,1.00078589919186e-38,9.84038053531916e-37
"PRSS2","PRSS3P2",0.857239162106874,1.03683713936992e-38,1.01534173526103e-36
"CCKBR","GPR22",0.857177824021457,1.0635616346298e-38,1.03729553758024e-36
"SLC32A1","EGR4",0.857049179841286,1.12182599153065e-38,1.08970919903118e-36
"STYK1","BTBD9",0.857031062495293,1.1302792904911e-38,1.0935111689932e-36
"CCKBR","ICAM5",0.856722150174591,1.28441841639872e-38,1.2376655860418e-36
"GLS2","PHF24",0.856622989302545,1.33813865497869e-38,1.28429323499747e-36
